OBJECTID,DATE,Group,Facility,County,Cases,Month,Cases_Normalized,Risk_Level
618,2021-01-06 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
625,2021-01-13 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,325,1,1.010628645288643,2
626,2021-01-13 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,430,1,1.460291858279879,2
627,2021-01-13 10:00:00,Staff,State and Local Affected Facilities,Allegany,304,1,0.9206960026903959,2
628,2021-01-13 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
629,2021-01-13 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
630,2021-01-13 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
631,2021-01-20 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,333,1,1.0448886996117848,2
632,2021-01-20 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,420,1,1.4174667903759517,2
633,2021-01-20 10:00:00,Staff,State and Local Affected Facilities,Allegany,150,1,0.26118995696991665,0
634,2021-01-20 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
635,2021-01-20 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
636,2021-01-20 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
637,2021-01-27 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,157,1,0.29116750450266565,0
638,2021-01-27 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,205,1,0.49672783044151636,0
639,2021-01-27 10:00:00,Staff,State and Local Affected Facilities,Allegany,184,1,0.4067951878432692,0
640,2021-01-27 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
641,2021-01-27 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
642,2021-01-27 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
643,2021-02-03 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,143,2,0.23121240943716756,0
644,2021-02-03 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,220,2,0.5609654322974073,0
645,2021-02-03 10:00:00,Staff,State and Local Affected Facilities,Allegany,340,2,1.0748662471445338,2
646,2021-02-03 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,2,-0.3811860615889917,0
