OBJECTID,DATE,Facility_Type,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_George_s,Queen_Anne_s,Somerset,St_Mary_s,Talbot,Washington,Wicomico,Worcester
272,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,844,291,0,0,0,13,68,99,100
273,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
274,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
275,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
276,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,9/16/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
278,9/16/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,801,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
279,9/16/2020 10:00,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
280,9/16/2020 10:00,Patients: State and Local Affected Facilities,0,0,62,0,0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
281,9/16/2020 10:00,Inmates: State and Local Affected Facilities,0,379,226,226,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
282,9/16/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,9/16/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
284,9/16/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,753,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
285,9/16/2020 10:00,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
286,9/16/2020 10:00,Patients: State and Local Affected Facilities,0,0,62,0,0,2,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
287,9/16/2020 10:00,Inmates: State and Local Affected Facilities,0,379,226,226,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
288,9/16/2020 10:00,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,9/16/2020 10:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",7,227,600,593,0,23,63,5,29,14,130,4,88,137,7,584,101,0,0,0,3,19,1,56
290,9/16/2020 10:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",11,371,762,753,0,45,185,0,42,25,188,0,190,207,0,813,187,0,0,0,1,2,1,101
291,9/16/2020 10:00,Staff: State and Local Affected Facilities,8,299,57,310,0,3,20,1,0,0,9,0,0,0,0,0,43,0,0,0,0,48,4,14
